JobTitle,Company,Location,Summary,Salary,DateOfPosting,URL
(Junior) Technical Digital Analyst (m/w/div),Dept,Berlin,Per sofort oder nach Vereinbarung suchen wir am Standort Berlin einen (Junior) Technical Digital Analyst (m/w/div; 80-100%) für das Data & Intelligence-Team in…,,vor 23 Tagen,https://indeedhi.re/3d9mSsD
Data Scientist (f/m/x),AUTO1,Berlin,"Handle large amounts of data to drive data-driven business decisions.
Set priorities and support junior members to achieve business goals.",,Vor mehr als 30 Tagen,https://indeedhi.re/3u0z45Q
Logistic Specialist / Analyst (m/f/d),Zalando,Berlin,"Comfortable with numbers, you use data to understand the problems and build strong arguments to convince others.
WHERE YOUR EXPERTISE IS NEEDED.",,vor 10 Tagen,https://indeedhi.re/39jUPFI
Data Product Manager,Babbel,Berlin,"Work together with other data delivery teams, data analysts and data scientists to ensure fulfilment of objectives.
Mentor & guide junior team members.",,vor 2 Tagen,https://indeedhi.re/3w4Iqir
Data Science Manager - Fraud Prevention,Amazon Development Center DEU,Berlin,"Protecting your privacy and the security of your data is a longstanding top priority for Amazon.
Please consult our Privacy Notice to know more about how we…",,vor 2 Tagen,https://indeedhi.re/3tVpZLm
Junior Backend Developer (m/f/d),Phiture,Berlin-Kreuzberg,"Work on core data structures and algorithms and implement them.
We’re Phiture: a leading mobile growth consultancy driven by a mixed, close-knit team of…",,vor 16 Tagen,https://indeedhi.re/3rliLyE
(Junior) Software Engineer (Technical Operations) (m/f/div),Elinvar GmbH,Berlin,"Elinvar enables asset & wealth managers to digitalize their business models by providing the required Platform as a Service.
What will keep you challenged?",,Vor mehr als 30 Tagen,https://indeedhi.re/3qZTZEM
Data Analyst (m/f/d),Zalando,Berlin,You are an excellent communicator and with your data storytelling skills support our senior management and business teams taking data-based business decisions…,,Vor mehr als 30 Tagen,https://indeedhi.re/2ZTgnE2
Junior iOS Engineer,OLX Group,Berlin,"The OLX Group is a network of leading classifieds platforms in 45 markets, we help people buy and sell cars, find homes, get jobs, trade goods - anything from…",,Vor mehr als 30 Tagen,https://indeedhi.re/3csuSpa
"Lead Analyst, Care Analytics- Germany Remote",Vistaprint,Berlin,"Mentor junior analysts and guide their work.
Passionate about data and technology.
The cross-functional team includes product owners, analysts, technologists,…",,vor 11 Tagen,https://indeedhi.re/3lTKwNu
"Embedded Lead Analyst, CARE Analytics- Berlin",Vistaprint,Berlin,"Leading an internationally diverse team of 3 analysts, mentor these more junior analysts and guide their work.
Passionate about data and technology.",,vor 8 Tagen,https://indeedhi.re/39hTUFR
Research Data Scientist,Amazon Development Center DEU,Berlin,"Experience with data engineers or business analysts in Big Data analytics.
More than 6 years of industrial/academic experience in areas such as data analytics,…",,Vor mehr als 30 Tagen,https://indeedhi.re/3pUXQBK
Senior Economist - Data Team at Zalando Lounge and Outlets,Zalando,Berlin,"Actively collaborate with economist and data science colleagues.
Provide egoless constructive scientific feedback to peers and coach junior colleagues to become…",,Heute,https://indeedhi.re/3lTKwxb
(Junior) Software Engineer (Technical Operations) (m/f/div),Elinvar GmbH,Berlin,"Elinvar enables asset & wealth managers to digitalize their business models by providing the required Platform as a Service.
What will keep you challenged?",,Vor mehr als 30 Tagen,https://indeedhi.re/3qZTZEM
Supply Chain Project Manager / Analyst (m/f/d) Zalando Logistics,Zalando SE,Berlin,"Comfortable with numbers, you use data to understand the problems and build strong arguments to convince others.
WHERE YOUR EXPERTISE IS NEEDED.",,vor 24 Tagen,https://indeedhi.re/39fJ6Yv
Machine Learning Engineer (f/m/x),AUTO1,Berlin,"Guide junior engineers and data scientists and promote best practices in engineering.
Prepare and process large amounts of data.",,Vor mehr als 30 Tagen,https://indeedhi.re/3bQzwfw
Junior iOS Engineer,OLX Group,Berlin,"The OLX Group is a network of leading classifieds platforms in 45 markets, we help people buy and sell cars, find homes, get jobs, trade goods - anything from…",,Vor mehr als 30 Tagen,https://indeedhi.re/3csuSpa
Junior Sales Engineer (m/f/d),Talon.One,Berlin,"Your data will be processed in the United States.
Appropriate safeguards to guarantee compliant data processing are established through Bamboo HR’s…",,Vor mehr als 30 Tagen,https://indeedhi.re/3dPlDkc
"Senior Knowledge Analyst (Infrastructure, Transport & Cities)",The Boston Consulting Group,Berlin,"As a SKA, you will assist with on-boarding, training and guiding junior colleagues and share best practices within the team.",,Vor mehr als 30 Tagen,https://indeedhi.re/37OEubl
Junior Backend Developer (m/f/d),Phiture,Berlin-Kreuzberg,"Work on core data structures and algorithms and implement them.
We’re Phiture: a leading mobile growth consultancy driven by a mixed, close-knit team of…",,vor 16 Tagen,https://indeedhi.re/3rliLyE
User Researcher - Logistics,Takeaway.com,Berlin,"A proactive, growth-oriented and data-driven mindset.
Conducting hands-on research, while mentoring more junior researchers who will alongside you.",,Vor mehr als 30 Tagen,https://indeedhi.re/2ZUUtjR
Digital Analyst – Marketing Technology (m/w/d),Peak Ace AG,Berlin,Als Teil unseres Marketing Technology Teams arbeitest du an der Planung und Umsetzung von erfolgreichen Digital Analytics Konzepten für unsere verschiedenen…,,Vor mehr als 30 Tagen,https://indeedhi.re/2O4GsNF
Lead Analytics - Voice of Customers,Zalando SE,Berlin,"Leadership. Experience in mentoring and guiding junior Analysts.
With the support of the BI team, you will empower your colleagues with access to customer…",,Vor mehr als 30 Tagen,https://indeedhi.re/3sswsx7
Applied Scientist - Payments (W/M/D),Zalando,Berlin,"Experience and commitment to actively helping more junior team members to grow and succeed.
Strong experience in data analysis and feature exploration, solid…",,Vor mehr als 30 Tagen,https://indeedhi.re/389TWPL
Sr. Pricing Analyst (m/w/x),Grover,Berlin,"Capacity to work with big amounts of data and are able to extract data from different sources using SQL, Python, Scala or R and/or BI tools.",,Vor mehr als 30 Tagen,https://indeedhi.re/37S77o7
Senior Data Engineer - Zalando Offprice,Zalando,Berlin,"2+ years of experience in daily work with data analysts and upstream data producers.
You will be owning the processes of building and maintenance of data…",,Vor mehr als 30 Tagen,https://indeedhi.re/2X9wtYH
Social Media Marketing Intern (m/w/x) Deutsch/Englisch/Schwedisch,GOCOMO GmbH,Berlin,"Meet COMO - Data-Driven Tech in Influencer Marketing.
Wir decken alle Aspekte des Influencer Marketings ab.
Marken sagen uns nach wem sie suchen und wir setzen…",,Vor mehr als 30 Tagen,https://indeedhi.re/3tZ2eC2
Senior Data Engineer - Product Team,Takeaway.com,Berlin,"Proven record in successfully handling big data pipelines, data warehouses or other (preferably distributed) data stores.
Eager to be our next data engineer?",,Vor mehr als 30 Tagen,https://indeedhi.re/3sqpkkq
Product Analytics Manager (Senior Data Scientist - Insights),Miro,Berlin,"Start coaching more junior analysts in the future.
Leading the team / coaching other analysts.
Actively contribute in building analytics processes and data…",,vor 24 Tagen,https://indeedhi.re/3rvZxWV
Senior or Principal Machine Learning Engineer (w/m/d),Zalando,Berlin,"Mentor and grow junior and mid-level members of the team.
Our team spearheads our data-driven advertising solutions, which plays an important part in our…",,Vor mehr als 30 Tagen,https://indeedhi.re/3oqPfqk
Product Designer* - Design System / Mobile Apps,Takeaway.com,Berlin,"Provide mentoring and support to more junior members of our team.
You will work in collaboration within cross functional product teams consisting of researchers…",,Vor mehr als 30 Tagen,https://indeedhi.re/3aXNpJh
Senior Data Engineer - Zalando Marketing Services,Zalando,Berlin,"Passionate about topics like data democratization, data governance, privacy, data quality assurance.
Provide critical data infrastructures like large-scale ETL…",,Vor mehr als 30 Tagen,https://indeedhi.re/3sqKMpW
Senior Digital Analyst – Marketing Technology (m/w/d),Peak Ace AG,Berlin,Als Teil unseres Marketing Technology Teams verantwortest du die strategische Planung und Umsetzung von erfolgreichen Digital Analytics Konzepten für unsere…,,Vor mehr als 30 Tagen,https://indeedhi.re/3rSdWhM
Head of Applied Science - zDirect (Marketplace) (w/m/d),Zalando,Berlin,"As a Head of Applied Science within Merchant Operations (Zalando's Sellers Platform), you will build and lead teams of applied machine learning scientists and…",,Vor mehr als 30 Tagen,https://indeedhi.re/3rQtBOx
Senior Data Engineer - Direct Communication,Zalando,Berlin,"Passionate about topics like data governance, data privacy and data quality assurance.
Advanced knowledge of relational databases, data modelling and solid…",,Vor mehr als 30 Tagen,https://indeedhi.re/2ZYBMvE
Senior CRM Manager (f/m/x),Ada Health GmbH,Berlin,"Collaborate with a team of copywriters, designers, data analysts, marketing managers, and product owners.
Data-driven, comfortable with data analytics and deep…",,Vor mehr als 30 Tagen,https://indeedhi.re/3u4gdH3
Lead Analytics - Voice of Customers,Zalando,Berlin,"Leadership. Experience in mentoring and guiding junior Analysts.
With the support of the BI team, you will empower your colleagues with access to customer…",,Vor mehr als 30 Tagen,https://indeedhi.re/31AUCtD
"Senior or Principal Data Scientist, Machine Learning (w/m/d)",Zalando,Berlin,"Mentor and grow junior and mid-level members of the team.
Our team spearheads our data-driven advertising solutions, which plays an important part in our…",,Vor mehr als 30 Tagen,https://indeedhi.re/3nd8Glj
Product Manager (m/w/d),Plentific,Berlin,"Oversee and develop more junior product managers and analysts.
Test hypothesis through surveys, interviews and user data.
Some experience in manual testing.",,Vor mehr als 30 Tagen,https://indeedhi.re/2NWX5Lv
Senior or Principal Applied Scientist Machine Learning (w/m/d),Zalando,Berlin,"Mentor and grow junior and mid-level members of the team.
Our team spearheads our data-driven advertising solutions, which plays an important part in our…",,Vor mehr als 30 Tagen,https://indeedhi.re/3rPJapI
Senior Fullstack Developer (m/w/d),Speedinvest Heroes Consulting GmbH,Berlin,"Agile working in a scrum team with experienced software architects, Product developers, and data analysts.
Support junior developers on their way to becoming…",,vor 3 Tagen,https://indeedhi.re/3w1MgZO
Data Analyst (m/f/d),Zalando SE,Berlin,You are an excellent communicator and with your data storytelling skills support our senior management and business teams taking data-based business decisions…,,Vor mehr als 30 Tagen,https://indeedhi.re/3ssxuJu
Senior Data Engineer - Zalando Offprice,Zalando,Berlin,"2+ years of experience in daily work with data analysts and upstream data producers.
You will be owning the processes of building and maintenance of data…",,Vor mehr als 30 Tagen,https://indeedhi.re/2X9wtYH
Social Media Marketing Intern (m/w/x) Deutsch/Englisch/Schwedisch,GOCOMO GmbH,Berlin,"Meet COMO - Data-Driven Tech in Influencer Marketing.
Wir decken alle Aspekte des Influencer Marketings ab.
Marken sagen uns nach wem sie suchen und wir setzen…",,Vor mehr als 30 Tagen,https://indeedhi.re/3tZ2eC2
Junior Business Intelligence Consultant (M/W/D),Positive Thinking Company,Berlin,"Wir sind die Positive Thinking Company.
Wir suchen Ihr Talent und Ihre Leidenschaft zur Verstärkung unserer Data & Analytics Experten.",,Vor mehr als 30 Tagen,https://indeedhi.re/2O4GuoL
Supply Chain Project Manager / Analyst (m/f/d) Zalando Logistics,Zalando,Berlin,"Comfortable with numbers, you use data to understand the problems and build strong arguments to convince others.
WHERE YOUR EXPERTISE IS NEEDED.",,vor 25 Tagen,https://indeedhi.re/39keRjd
Consumer Insight Manager,Ten Square Games,Berlin,"Experience managing and coaching junior analysts;
Experience with data visualization tools such as Tableau;
Work closely with the BI terms to see that findings…",,vor 17 Tagen,https://indeedhi.re/3rty4oZ
Product Designer* - Mobile Apps,Takeaway.com,Berlin,"Provide mentoring and support to more junior members of our team.
You will work within cross-functional teams of researchers, designers, data analysts, product…",,Vor mehr als 30 Tagen,https://indeedhi.re/35bLwFA
Product Designer* - Design System / Mobile Apps,Takeaway.com,Berlin,"Provide mentoring and support to more junior members of our team.
You will work in collaboration within cross functional product teams consisting of researchers…",,Vor mehr als 30 Tagen,https://indeedhi.re/3aXNpJh
Senior Data Engineer - Direct Communication,Zalando,Berlin,"Passionate about topics like data governance, data privacy and data quality assurance.
Advanced knowledge of relational databases, data modelling and solid…",,Vor mehr als 30 Tagen,https://indeedhi.re/2ZYBMvE
Senior or Principal Machine Learning Engineer (w/m/d),Zalando,Berlin,"Mentor and grow junior and mid-level members of the team.
Our team spearheads our data-driven advertising solutions, which plays an important part in our…",,Vor mehr als 30 Tagen,https://indeedhi.re/3oqPfqk
Senior Controller (m/f/d),Takeaway.com,Berlin,"Provide coaching and guidance to more junior Finance Business Analysts.
Are you an experienced data-driven Controller, with a highly analytical mindset?",,vor 24 Tagen,https://indeedhi.re/3rpa8Di
Senior Controller (m/f/d),Takeaway.com,Berlin,"Provide coaching and guidance to more junior Finance Business Analysts.
Are you an experienced data-driven Controller, with a highly analytical mindset?",,vor 14 Tagen,https://indeedhi.re/3fcSyQq
Logistic Specialist / Analyst (m/f/d),Zalando SE,Berlin,"Comfortable with numbers, you use data to understand the problems and build strong arguments to convince others.
WHERE YOUR EXPERTISE IS NEEDED.",,vor 10 Tagen,https://indeedhi.re/3tWFKS9
Junior Valuation Analyst / Junior Immobilienbewerter (m/w/x),McMakler GmbH,Berlin,"Wir bei McMakler brechen eingestaubte Strukturen auf und vereinen Tradition mit Innovation, um den Immobilienmarkt im Zeitalter der Digitalisierung zu…",,vor 9 Tagen,https://indeedhi.re/3cqHBsP
Junior ESG Research Analyst - Finnish,RepRisk,Berlin,"RepRisk is a data science company working to make the business world more transparent.
As a team member at RepRisk, you are on the cutting-edge of using data…",,vor 1 Tag,https://indeedhi.re/31oOqoo
Junior ESG Research Analyst - Thai,RepRisk,Berlin,"RepRisk is a data science company working to make the business world more transparent.
As a team member at RepRisk, you are on the cutting-edge of using data…",,vor 1 Tag,https://indeedhi.re/3m3h1ZW
Business Analyst m/f/d Master Data Management (MDM),Fusion Consulting AG,Deutschland,"Provide input on data strategy based on data profiling, data operations, data quality and compliance.
Ensure data governance, master data and data management…",,vor 11 Tagen,https://indeedhi.re/3tXQzDz
Sr. Pricing Analyst (m/w/x),Grover,Berlin,"Capacity to work with big amounts of data and are able to extract data from different sources using SQL, Python, Scala or R and/or BI tools.",,Vor mehr als 30 Tagen,https://indeedhi.re/37S77o7
"Senior Knowledge Analyst (Infrastructure, Transport & Cities)",The Boston Consulting Group,Berlin,"As a SKA, you will assist with on-boarding, training and guiding junior colleagues and share best practices within the team.",,Vor mehr als 30 Tagen,https://indeedhi.re/37OEubl
Junior Business Intelligence Consultant (M/W/D),Positive Thinking Company,Berlin,"Wir sind die Positive Thinking Company.
Wir suchen Ihr Talent und Ihre Leidenschaft zur Verstärkung unserer Data & Analytics Experten.",,Vor mehr als 30 Tagen,https://indeedhi.re/2O4GuoL
Consumer Insight Manager,Ten Square Games,Berlin,"Experience managing and coaching junior analysts;
Experience with data visualization tools such as Tableau;
Work closely with the BI terms to see that findings…",,vor 17 Tagen,https://indeedhi.re/3rty4oZ
Senior Data Engineer - Zalando Offprice,Zalando,Berlin,"2+ years of experience in daily work with data analysts and upstream data producers.
You will be owning the processes of building and maintenance of data…",,Vor mehr als 30 Tagen,https://indeedhi.re/2X9wtYH
Supply Chain Project Manager / Analyst (m/f/d) Zalando Logistics,Zalando,Berlin,"Comfortable with numbers, you use data to understand the problems and build strong arguments to convince others.
WHERE YOUR EXPERTISE IS NEEDED.",,vor 25 Tagen,https://indeedhi.re/39keRjd
Social Media Marketing Intern (m/w/x) Deutsch/Englisch/Schwedisch,GOCOMO GmbH,Berlin,"Meet COMO - Data-Driven Tech in Influencer Marketing.
Wir decken alle Aspekte des Influencer Marketings ab.
Marken sagen uns nach wem sie suchen und wir setzen…",,Vor mehr als 30 Tagen,https://indeedhi.re/3tZ2eC2
Senior Data Engineer - Product Team,Takeaway.com,Berlin,"Proven record in successfully handling big data pipelines, data warehouses or other (preferably distributed) data stores.
Eager to be our next data engineer?",,Vor mehr als 30 Tagen,https://indeedhi.re/3sqpkkq
Product Analytics Manager (Senior Data Scientist - Insights),Miro,Berlin,"Start coaching more junior analysts in the future.
Leading the team / coaching other analysts.
Actively contribute in building analytics processes and data…",,vor 24 Tagen,https://indeedhi.re/3rvZxWV
Supply Chain Project Manager / Analyst (m/f/d) Zalando Logistics,Zalando SE,Berlin,"Comfortable with numbers, you use data to understand the problems and build strong arguments to convince others.
WHERE YOUR EXPERTISE IS NEEDED.",,vor 24 Tagen,https://indeedhi.re/39jUJ0O
Senior Data Engineer - Direct Communication,Zalando,Berlin,"Passionate about topics like data governance, data privacy and data quality assurance.
Advanced knowledge of relational databases, data modelling and solid…",,Vor mehr als 30 Tagen,https://indeedhi.re/2ZYBMvE
Senior CRM Manager (f/m/x),Ada Health GmbH,Berlin,"Collaborate with a team of copywriters, designers, data analysts, marketing managers, and product owners.
Data-driven, comfortable with data analytics and deep…",,Vor mehr als 30 Tagen,https://indeedhi.re/3u4gdH3
Lead Analytics - Voice of Customers,Zalando,Berlin,"Leadership. Experience in mentoring and guiding junior Analysts.
With the support of the BI team, you will empower your colleagues with access to customer…",,Vor mehr als 30 Tagen,https://indeedhi.re/31AUCtD
Product Manager (m/w/d),Plentific,Berlin,"Oversee and develop more junior product managers and analysts.
Test hypothesis through surveys, interviews and user data.
Some experience in manual testing.",,Vor mehr als 30 Tagen,https://indeedhi.re/2NWX5Lv
Senior Fullstack Developer (m/w/d),Speedinvest Heroes Consulting GmbH,Berlin,"Agile working in a scrum team with experienced software architects, Product developers, and data analysts.
Support junior developers on their way to becoming…",,vor 3 Tagen,https://indeedhi.re/3w1MgZO
